Designator,Mid X,Mid Y,Rotation,Layer
BOOT,150.6,-70.0,270.0,top
C1,175.84,-99.1,270.0,top
C10,183.17,-70.85,0.0,top
C11,183.17,-72.95,0.0,top
C12,183.17,-68.95,0.0,top
C13,183.17,-75.05,0.0,top
C14,185.57,-77.45,270.0,top
C15,178.1,-83.4,180.0,top
C16,176.4,-88.1,180.0,top
C17,169.4,-86.1,90.0,top
C18,170.6,-86.1,90.0,top
C19,169.9,-90.0,0.0,top
C2,181.015,-93.7,0.0,top
C20,168.38,-90.5,180.0,top
C21,148.9,-102.1,270.0,top
C22,146.3,-103.1,0.0,top
C23,154.675,-83.44,0.0,top
C24,148.52,-95.44,270.0,top
C25,153.32,-100.04,180.0,top
C26,163.82,-92.14,0.0,top
C27,156.275,-83.44,180.0,top
C28,152.72,-101.24,180.0,top
C29,146.29,-90.01,0.0,top
C3,182.84,-96.5,90.0,top
C30,155.42,-82.34,0.0,top
C31,164.0,-90.9,0.0,top
C32,152.12,-99.64,270.0,top
C33,148.265686,-81.461523,315.0,top
C34,144.376599,-85.35061,135.0,top
C35,153.05,-78.5,90.0,top
C36,150.55,-78.5,90.0,top
C37,148.36675,-70.37,270.0,top
C38,179.5,-92.0,0.0,top
C4,181.54,-95.3,270.0,top
C5,175.84,-97.1,90.0,top
C6,177.915,-93.7,180.0,top
C7,183.27,-84.15,0.0,top
C8,183.27,-81.95,0.0,top
C9,183.27,-86.05,0.0,top
CARD1,165.5,-68.7875,180.0,top
D1,178.04,-101.5,90.0,top
J1,194.949,-82.79625,90.0,top
J2,182.6,-61.01,270.0,top
J3,182.6,-65.6,270.0,top
J4,194.7,-92.1,0.0,top
L1,173.84,-96.9,270.0,top
L2,179.07,-78.45,90.0,top
L3,173.5,-85.2,0.0,top
L4,146.49,-88.61,180.0,top
R1,164.32,-100.98,0.0,top
R10,168.2,-92.0,180.0,top
R11,160.6,-85.8,90.0,top
R12,185.57,-79.85,90.0,top
R13,185.915,-78.65,180.0,top
R14,178.9,-87.9,180.0,top
R15,178.9,-89.2,0.0,top
R16,169.9,-76.3,270.0,top
R17,170.95,-76.3,270.0,top
R18,163.2,-76.3,270.0,top
R19,164.3,-76.3,270.0,top
R2,168.02,-100.98,180.0,top
R20,165.4,-76.3,270.0,top
R21,167.7,-76.3,270.0,top
R22,150.5,-73.5,0.0,top
R23,197.6,-104.4,0.0,top
R3,182.94,-98.7,180.0,top
R4,184.24,-98.8,90.0,top
R5,183.34,-99.9,90.0,top
R6,182.54,-99.9,90.0,top
R7,178.04,-103.2,270.0,top
R8,182.94,-97.9,0.0,top
R9,169.8,-93.3,180.0,top
RESET,146.19675,-70.07,270.0,top
U1,178.99,-97.8,0.0,top
U2,146.6,-101.0,0.0,top
U3,155.6,-91.6,225.0,top
U4,170.1,-91.62,0.0,top
U5,183.3,-78.4,90.0,top
U6,178.0625,-85.55,180.0,top
U7,190.98175,-101.075,0.0,top
USB1,165.9,-104.6,0.0,top
X1,146.321142,-83.476777,225.0,top
X2,151.85,-80.5,180.0,top
